objectid,id,nature,etat,date_creat,date_maj,date_app,date_conf,source,id_source,prec_plani,prec_alti,z_min_sol,z_min_toit,hauteur,z_max_toit,z_max_sol,origin_bat,volume,Shape__Area,Shape__Length
18,RESERVOI0000000045819922,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,46,0,10.19999981,57,49,Imagerie aérienne,0,154.3046875,44.645175528806
19,RESERVOI0000000045820108,Réservoir d'eau ou château d'eau au sol,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,124,0,3.9000001,129.19999695,125.90000153,Imagerie aérienne,0,62.8740234375,28.6575139465438
20,RESERVOI0000000289011184,Réservoir d'eau ou château d'eau au sol,En service,2011/09/16 13:51:52,2019-07-03 08:36:32,,, , ,3,1,72,84.69999695,12.69999981,85.80000305,72.40000153,Imagerie aérienne,0,355.01171875,67.6800868022628
21,RESERVOI0000000291988111,Réservoir industriel,En service,2011/11/28 13:42:23,2019-07-03 08:36:32,,, , ,3,2.5,38.90000153,39.09999847,0.2,0,0,Cadastre,0,33.21875,20.6199255981935
22,RESERVOI0000000045820169,Réservoir d'eau ou château d'eau au sol,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,105.09999847,0,4.9000001,0,0,Imagerie aérienne,0,116.8828125,38.5022473538547
23,RESERVOI0000000045820167,Réservoir d'eau ou château d'eau au sol,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,107,0,3,0,0,Imagerie aérienne,0,124.8447265625,39.738821785728
24,RESERVOI0000000292176915,Château d'eau,En service,2011/12/01 11:57:04,2019-07-03 08:36:32,,, , ,3,2.5,38,60,22,0,0,Cadastre,0,59.3056640625,27.3890624368491
25,RESERVOI0000000045820104,Réservoir d'eau ou château d'eau au sol,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,129.69999695,0,0.60000002,0,0,Imagerie aérienne,0,70.0732421875,29.8262491328875
26,RESERVOI0000000292506534,Réservoir d'eau ou château d'eau au sol,En service,2011/12/08 09:04:06,2019-07-03 08:36:32,,, , ,3,1,70.80000305,72.59999847,1.70000005,73.5,71.5,Cadastre,0,67.1015625,30.9747402271532
27,RESERVOI0000000292566003,Réservoir industriel,En service,2011/12/08 16:23:35,2019-07-03 08:36:32,,, , ,3,1,28.60000038,32,3.4000001,44.20000076,28.79999924,Cadastre,0,64.7197265625,28.6221279213648
28,RESERVOI0000000292611170,Château d'eau,En service,2011/12/09 14:43:39,2019-07-03 08:36:32,,, , ,3,1,155.3999939,180.19999695,24.79999924,181.30000305,155.6000061,Cadastre,0,71.55078125,30.1588445861397
29,RESERVOI0000000293472980,Château d'eau,En service,2011/12/21 05:23:22,2019-07-03 08:36:32,,, , ,3,2.5,51,86.59999847,35.59999847,0,0,Cadastre,0,340.263671875,66.2333150781168
30,RESERVOI0000000293481731,Château d'eau,En service,2011/12/21 05:44:13,2019-07-03 08:36:32,,2009/07/01 00:00:00+00, , ,2.5,1.5,61,0,23.29999924,85.80000305,62.20000076,Imagerie aérienne,0,251.35546875,56.6543443818468
31,RESERVOI0000000310982879,Réservoir industriel,En service,2012/08/22 13:33:34,2019-07-03 08:36:32,,2009/07/01 00:00:00+00, , ,2.5,1.5,23.60000038,0,21.60000038,0,0,Imagerie aérienne,0,50.935546875,25.8577868621314
32,RESERVOI0000000310982880,Réservoir industriel,En service,2012/08/22 13:33:34,2019-07-03 08:36:32,,2009/07/01 00:00:00+00, , ,2.5,1.5,25.60000038,0,15.39999962,0,0,Imagerie aérienne,0,88.7392578125,43.0836366133409
33,RESERVOI0000000357765766,Réservoir industriel,En service,2016/06/27 12:21:14,2019-07-03 08:36:32,,2015/07/01 00:00:00+00, , ,2.5,1.5,67,0,15,0,0,Imagerie aérienne,0,97.376953125,52.9620918761284
34,RESERVOI0000000352119479,Réservoir industriel,En service,2015/07/07 21:13:12,2019-12-09 12:37:33,,2014/07/01 00:00:00+00, , ,3,9999,0,0,0,0,0,Imagerie aérienne,0,58.6005859375,39.1002395031216
35,RESERVOI0000000357766335,Château d'eau,En service,2016/06/27 12:25:21,2019-07-03 08:36:32,,2015/07/01 00:00:00+00, , ,2.5,1.5,53.5,0,33.59999847,0,0,Imagerie aérienne,0,533.6357421875,82.1537274650805
36,RESERVOI0000000357766426,Inconnue,En service,2016/06/27 12:26:10,2019-07-03 08:36:32,,2015/07/01 00:00:00+00, , ,2.5,1.5,59.90000153,0,6.4000001,0,0,Imagerie aérienne,0,23.357421875,17.3287674500791
37,RESERVOI0000002000125815,Réservoir industriel,En service,2016/09/29 17:52:14,2019-07-03 08:36:32,,, , ,3,9999,48,0,0,0,0,Imagerie aérienne,0,7.775390625,9.97417935007752
38,RESERVOI0000000292505858,Réservoir d'eau ou château d'eau au sol,En service,2011/12/08 08:58:28,2019-07-03 08:36:32,,, , ,3,2.5,74,87.19999695,13.19999981,0,0,Cadastre,0,116.576171875,41.1012612551126
39,RESERVOI0000000292315588,Réservoir industriel,En service,2011/12/05 05:42:05,2019-07-03 08:36:32,,, , ,3,1,27.60000038,32,4.4000001,32.59999847,27.89999962,Cadastre,0,131.779296875,54.0270993345091
40,RESERVOI0000000045819898,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,53,0,2.5,57.09999847,0,Imagerie aérienne,0,306.2412109375,62.7965944926082
41,RESERVOI0000000293757532,Château d'eau,En service,2012/01/04 09:59:13,2019-07-03 08:36:32,,, , ,3,2.5,37,59.59999847,22.60000038,61.29999924,39,Cadastre,0,86.1181640625,33.0256358843496
42,RESERVOI0000000293757533,Château d'eau,En service,2012/01/04 09:59:13,2019-07-03 08:36:32,,, , ,3,2.5,37,59.59999847,22.60000038,61.29999924,38.70000076,Cadastre,0,86.5888671875,33.1519195092179
43,RESERVOI0000000045819789,Réservoir d'eau ou château d'eau au sol,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,24,0,17.60000038,42.20000076,25.79999924,Imagerie aérienne,0,160.0908203125,45.6805258887063
44,RESERVOI0000000293547899,Château d'eau,En service,2011/12/23 05:26:03,2019-07-03 08:36:32,,, , ,3,1,26.60000038,36.90000153,10.39999962,37.79999924,26.79999924,Cadastre,0,37.8984375,21.9133499319872
45,RESERVOI0000000291900677,Réservoir industriel,En service,2011/11/28 06:30:26,2019-07-03 08:36:32,,2009/07/01 00:00:00+00, , ,2.5,1.5,32.5,0,7.9000001,40.90000153,32.5,Imagerie aérienne,0,72.9404296875,30.8541935716728
46,RESERVOI0000000292572089,Château d'eau,En service,2011/12/08 16:38:00,2019-07-03 08:36:32,,, , ,3,2.5,28,44.09999847,16.10000038,46,29.10000038,Cadastre,0,29.0380859375,19.198919879856
47,RESERVOI0000000045819897,Réservoir d'eau ou château d'eau au sol,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,26.39999962,0,0.40000001,28,27,Imagerie aérienne,0,169.7802734375,54.4233212657317
48,RESERVOI0000000045819895,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,25,0,14.39999962,39.79999924,25.70000076,Imagerie aérienne,0,180.142578125,58.7838282066632
49,RESERVOI0000000045819896,Réservoir d'eau ou château d'eau au sol,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,26.5,0,0.30000001,29,0,Imagerie aérienne,0,366.578125,83.8664865304738
50,RESERVOI0000000045819894,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,25.29999924,0,9,34.79999924,26.29999924,Imagerie aérienne,0,333.07421875,80.3774870256089
51,RESERVOI0000000045819849,Réservoir industriel,En service,2006/12/12 15:45:49,2019-07-03 08:36:32,,, , ,2.5,1.5,22.10000038,0,9.89999962,35.29999924,24.5,Imagerie aérienne,0,470.990234375,92.9693784567496
